Gene_name	HI_score
ZBED2	0.046
ZBED3	0.08
BNIP3L	0.623
TMEM135	0.229
HAX1	0.118
EFNA5	0.29
EFNA4	0.18
EFNA3	0.354
EFNA2	0.149
EFNA1	0.095
ANG	0.149
CD8A	0.071
CD8B	0.073
AJAP1	0.126
LRP2	0.612
LRP3	0.147
GALNT14	0.057
LRP1	0.64
GALNT12	0.433
GALNT13	0.263
GALNT10	0.574
GALNT11	0.113
ELF4	0.43
CDS1	0.113
LRP8	0.681
CCRK	0.151
KIAA1881	0.144
PDE9A	0.358
CDC2L5	0.213
CDC2L6	0.553
HLA-DOA	0.163
HLA-DOB	0.1
NOL12	0.468
CALR3	0.09
CLCC1	0.112
STIM2	0.124
ANTXR1	0.487
S100Z	0.092
LIMK2	0.25
KIRREL	0.255
CCDC74A	0.072
LIMK1	0.285
PRRG1	0.191
S100P	0.196
OR51S1	0.087
MAP2	0.274
C8A	0.089
C8B	0.047
MAP6	0.058
MAP7	0.558
MAP4	0.098
C8G	0.042
UCN2	0.028
UCN3	0.093
C1orf182	0.107
MAP9	0.112
CNDP2	0.243
C1orf185	0.111
C1orf186	0.135
C1orf187	0.125
PTPN22	0.124
PTPN23	0.081
PTPN21	0.128
PLEKHF1	0.041
PLEKHF2	0.237
MRPS7	0.058
CHIT1	0.09
OR51H1P	0.113
APEX1	0.902
APEX2	0.067
OVOL2	0.767
SERPINI1	0.54
SERPINI2	0.063
SPOCD1	0.055
FANK1	0.22
RAB37	0.07
ESRRG	0.347
ESRRA	0.451
SLC39A5	0.112
ESRRB	0.164
SAMD4B	0.147
CYP4V2	0.149
CLDN20	0.078
PSMC3IP	0.059
CLEC11A	0.212
IL28B	0.036
MTPN	0.705
RAB34	0.474
EPHA10	0.101
NVL	0.086
ZNF714	0.085
THG1L	0.028
ZNF716	0.068
DMRTA1	0.113
ZNF710	0.127
EBPL	0.046
ZNF713	0.102
NFAM1	0.056
YY1AP1	0.102
TOM1L2	0.159
MAPT	0.245
YIF1B	0.212
RSPO4	0.163
CNTNAP2	0.476
HLA-DQA1	0.069
HLA-DQA2	0.135
ZNF512B	0.277
ASB10	0.117
MDFI	0.373
GSS	0.261
GSR	0.141
ASB14	0.185
LRPPRC	0.194
ASB16	0.184
ASB17	0.167
UTS2D	0.058
DHCR7	0.091
CASP10	0.113
OR4K15	0.045
CASP12	0.052
AFG3L2	0.509
CASP14	0.269
TATDN3	0.059
XAGE2	0.029
TATDN2	0.134
LNX2	0.161
TROVE2	0.083
MSR1	0.507
AVIL	0.09
TCHHL1	0.036
C1orf177	0.063
ZFP2	0.176
OR4K14	0.066
GNB2L1	0.131
XCL2	0.197
XCL1	0.079
TLE2	0.431
MYCBP2	0.443
PTBP2	0.812
PTBP1	0.857
NNT	0.291
MRPS2	0.14
CD163L1	0.048
FAM19A4	0.083
FAM19A5	0.115
FAM19A2	0.414
FAM19A3	0.148
FAM19A1	0.424
HK2	0.546
HK3	0.805
HK1	0.816
TUSC3	0.544
EMID1	0.234
CACNA2D2	0.415
CACNA2D3	0.562
ATP2B3	0.34
ATP2B2	0.658
ATP2B4	0.363
MRPL1	0.343
VSIG1	0.313
HAL	0.42
FDPS	0.167
YWHAZ	1.0
MTCH1	0.127
CRNKL1	0.257
MLC1	0.241
TFPI2	0.246
MSRA	0.076
SUPT4H1	0.375
FBXO3	0.252
XRN1	0.63
CYP27C1	0.097
KRT42P	0.11
TBX6	0.149
FBXO5	0.562
GGTA1	0.092
SYT3	0.164
CEACAM3	0.059
CTNND1	0.662
PABPC1	0.434
MACF1	0.384
PABPC4	0.977
PABPC5	0.133
RBM35A	0.562
CCDC15	0.038
PCP4	0.192
DQX1	0.216
EED	0.892
MAPKAPK5	0.413
MAPKAPK3	0.152
MAPKAPK2	0.38
PDHX	0.043
C3AR1	0.028
C18orf8	0.076
GOLPH3	0.694
SAMD5	0.243
PPME1	0.205
SAMD7	0.335
PIK3R3	0.391
SAMD1	0.365
PIK3R1	0.894
SAMD3	0.085
PDHB	0.356
FAM83H	0.253
C1orf201	0.067
PTPRN2	0.161
TMEM38A	0.175
TIAL1	0.272
C18orf20	0.062
KCNH4	0.323
GBA2	0.098
C15orf2	0.051
PMFBP1	0.109
TMEM38B	0.178
HEXIM1	0.077
HEXIM2	0.108
PTCRA	0.155
C18orf24	0.083
TUBAL3	0.047
LRRC18	0.125
LRRC19	0.051
LRRC17	0.38
LRRC14	0.07
LRRC15	0.609
LRRC10	0.1
MEP1A	0.114
C14orf105	0.668
C14orf104	0.334
BAT5	0.204
BAT4	0.072
BAT3	0.524
BAT2	0.482
BAT1	0.498
C14orf102	0.058
CRLS1	0.116
FAM111B	0.058
RTN4RL2	0.226
NARG1L	0.755
TOMM40L	0.404
RAB3A	0.408
NFATC1	0.23
TMEM202	0.131
OR7E91P	0.095
IDS	0.191
SPANXC	0.076
ARMC6	0.087
RBKS	0.09
NFATC3	0.625
GLIPR1L1	0.042
GLIPR1L2	0.027
TNFAIP8L3	0.326
IDE	0.798
NCAM1	0.978
NCAM2	0.248
CCL7	0.046
SORL1	0.741
FAHD2B	0.1
FAHD2A	0.092
DACH2	0.184
OR6Q1	0.032
CCDC104	0.066
CCDC107	0.008
GUF1	0.101
CGA	0.003
CCDC108	0.066
HIATL2	0.191
OBP2A	0.047
TLR7	0.111
POLD1	0.961
POLD2	0.318
POLD3	0.58
POLD4	0.262
REEP1	0.375
TMEM143	0.097
REEP3	0.134
REEP2	0.285
REEP5	0.239
REEP4	0.169
PI4KAP2	0.174
REEP6	0.07
BBS9	0.319
CECR2	0.145
TSKU	0.204
CECR5	0.108
CECR6	0.891
CGB7	0.115
ARL6IP6	0.077
ARL6IP5	0.176
ARL6IP4	0.099
ARL6IP1	0.207
FEV	0.165
CHRNA5	0.065
CHRNA6	0.05
CHRNA7	0.409
FER	0.094
CHRNA1	0.091
CHRNA2	0.04
CHRNA3	0.217
FAM12A	0.083
COLQ	0.07
CHRNA9	0.128
MAPK8IP2	0.26
MAPK8IP3	0.274
NFKBIA	0.874
C20orf112	0.629
STAU2	0.477
DICER1	0.389
PLAC1L	0.062
LIG3	0.304
ID4	0.236
ID2	0.739
ID3	0.91
ID1	0.467
SLFNL1	0.077
R3HDML	0.366
HP1BP3	0.431
NCOA6	0.885
FAM18B2	0.051
CHGA	0.408
CHGB	0.186
MYCBPAP	0.08
CD164	0.236
MSN	0.852
LENEP	0.134
LEPREL1	0.12
NECAB3	0.178
COL20A1	0.079
MSC	0.31
OPLAH	0.097
SEC31A	0.328
XBP1	0.403
UBOX5	0.267
ANKRD5	0.15
ANKRD6	0.369
ANKRD7	0.293
ANKRD1	0.214
ANKRD2	0.3
FSHB	0.332
TSGA10	0.382
BCMO1	0.078
GLI2	0.978
GLI3	0.998
GLI1	0.987
TFIP11	0.158
AQP12B	0.141
AQP12A	0.097
FSHR	0.07
DISP1	0.138
MPPE1	0.066
DISP2	0.334
PEF1	0.209
SRA1	0.277
LONP2	0.057
COL8A2	0.541
COL8A1	0.376
PDGFC	0.274
PDGFD	0.183
TSGA14	0.287
HCCS	0.099
C14orf156	0.039
GFER	0.062
KIF16B	0.382
DMKN	0.308
ABCC3	0.101
RCC2	0.399
ZNF101	0.096
ATPBD4	0.275
ATPBD3	0.284
KCNH6	0.268
C2orf43	0.119
TCP11L1	0.173
DNM1L	0.336
LETMD1	0.086
SIGLEC7	0.044
FOLR1	0.395
FOLR2	0.051
GSTK1	0.095
DUOXA1	0.044
SSPN	0.283
FGFR1OP2	0.134
SFRS2IP	0.134
FHIT	0.246
NCBP2	0.222
SSPO	0.179
C19orf44	0.048
FTMT	0.055
TRAM1L1	0.071
LAPTM5	0.132
B2M	0.125
OR52B6	0.085
SQLE	0.292
HIST1H4F	0.052
HSPA5	0.812
CASKIN1	0.195
NXF2B	0.105
NR0B2	0.678
NR0B1	0.648
HIST1H4D	0.297
PTPLA	0.162
PTPLB	0.197
HRSP12	0.137
GAL3ST1	0.196
SPTLC2	0.229
SPTLC3	0.089
SPTLC1	0.348
MEI1	0.07
ABCD3	0.607
ABCD2	0.077
RARS2	0.446
ABCD4	0.116
C2CD3	0.306
CBLB	0.462
ZNF45	0.184
HSPA8	1.0
ZNF43	0.286
SIRPA	0.132
APOC1	0.08
TMEM19	0.067
ITGB2	0.237
HOXB7	0.741
RRBP1	0.139
MRC1L1	0.164
TRAPPC9	0.143
PI3	0.309
LIN52	0.501
C13orf18	0.042
TRAPPC1	0.379
TRAPPC3	0.454
TRAPPC5	0.088
TRAPPC4	0.054
GAL3ST3	0.127
OR2AG2	0.133
SBSN	0.096
CSN2	0.07
CSN3	0.118
PPP1R14A	0.169
CCDC73	0.214
KIAA1274	0.528
PLP2	0.286
SIM1	0.798
TSNAXIP1	0.114
PFN1	0.855
CYP2U1	0.172
LILRB5	0.056
AGT	0.435
C15orf17	0.1
LILRB2	0.259
C15orf15	0.469
DGAT1	0.178
DGAT2	0.12
MTCP1	0.172
GRAP2	0.87
SOBP	0.128
PSMG1	0.083
PSMG2	0.222
PSMG3	0.269
KSR1	0.248
KSR2	0.416
FAM33A	0.078
DSEL	0.225
ITGA7	0.232
COL21A1	0.445
C20orf43	0.081
C20orf46	0.31
CNTFR	0.378
TACR3	0.087
TACR2	0.113
TACR1	0.158
DIMT1L	0.247
KCNH5	0.569
OR5T1	0.064
KCNH7	0.388
C14orf1	0.32
KCNH1	0.5
KCNH3	0.269
KCNH2	0.697
KCNH8	0.112
PPTC7	0.765
SLC28A2	0.04
C9orf119	0.146
C9orf118	0.002
PPIA	0.147
SERBP1	0.587
ZNF295	0.273
C9orf117	0.247
C9orf116	0.106
ZNF292	0.888
PNMA5	0.064
NUP133	0.554
PRNP	0.284
LIN37	0.089
ORC2L	0.952
FOXM1	0.777
NDUFAF2	0.014
OR2H2	0.097
OR2H1	0.069
GDAP2	0.151
GDAP1	0.15
IGF2AS	0.08
DNALI1	0.14
GCSH	0.67
EIF2S3	0.861
AP3D1	0.27
FUZ	0.297
ILDR1	0.124
SULT1A4	0.908
FAM71E2	0.19
ZSWIM3	0.079
SULT1A1	0.084
SULT1A3	0.811
SULT1A2	0.098
BARX2	0.202
PRND	0.13
CABYR	0.034
BARX1	0.161
NOL9	0.096
NOL8	0.261
CHTF18	0.961
SH2B1	0.438
SAR1A	0.464
SAR1B	0.374
NOL6	0.205
OLIG2	0.531
OLIG3	0.44
NOL3	0.073
TSPYL5	0.147
CLDN10	0.346
NIPSNAP1	0.437
IRX6	0.158
RALY	0.152
TTTY8	0.145
DCAKD	0.197
RBBP6	0.668
CLPTM1	0.524
C17orf39	0.43
C17orf37	0.171
PTTG3	0.1
CDC40	0.233
MMD	0.353
GAMT	0.088
FAM59A	0.484
UNK	0.65
NADSYN1	0.076
SAMM50	0.085
PGLYRP3	0.101
PGLYRP2	0.092
PGLYRP1	0.024
MUC8	0.114
ACRV1	0.075
PDDC1	0.1
PGLYRP4	0.075
BIN1	0.189
SYNGR1	0.33
BIN3	0.603
C9orf135	0.063
RGS22	0.123
RGS21	0.278
RGS20	0.063
DPYD	0.272
PTPRH	0.067
EFHC2	0.09
UBTF	0.817
CDCA2	0.041
CDCA3	0.578
CDCA7	0.337
CDCA4	0.24
MUC2	0.111
CDCA8	0.535
PIN4	0.205
GFAP	0.595
UTS2	0.03
WASF4	0.064
FAM108C1	0.145
MUC7	0.06
C19orf47	0.13
RSF1	0.737
OR2Z1	0.035
MRPL34	0.093
PPP2R2C	0.702
PLB1	0.101
PPP2R2B	0.906
ALKBH4	0.109
SASH1	0.312
TCL1A	0.041
PCDH19	0.309
CYB5A	0.15
CYB5B	0.21
ALKBH3	0.132
ODF3L1	0.102
ZC3H7A	0.323
ALKBH1	0.083
HLA-DMB	0.042
HLA-DMA	0.129
PCK2	0.183
SYTL4	0.246
FRG1B	0.109
SYTL1	0.329
SYTL3	0.035
SYTL2	0.23
OR51Q1	0.107
SPRED1	0.39
SPRED2	0.438
PTHLH	0.685
OR10K2	0.065
OR10K1	0.051
ISX	0.082
ZNF652	0.191
OR10G3	0.105
C1orf183	0.083
ASTL	0.069
PRL	0.158
PLEKHH3	0.503
PLEKHH2	0.104
PLEKHH1	0.127
RELT	0.117
C8orf54	0.037
RELN	0.202
RELB	0.624
RELA	0.997
HDGF	0.658
PRX	0.093
ZMPSTE24	0.13
MRPL36	0.121
MRPL37	0.269
CRISPLD1	0.412
MRPL35	0.06
MRPL32	0.089
MRPL33	0.064
MRPL30	0.034
CARD9	0.08
PTH2R	0.156
UBE2R2	0.706
MRPL39	0.127
FAM69B	0.062
FAM69A	0.248
WDR21C	0.126
KLK4	0.089
KLK5	0.152
KLK6	0.172
KLK7	0.107
THOC3	0.129
KLK9	0.097
THOC1	0.876
THOC7	0.525
THOC6	0.211
THOC5	0.068
ORM1	0.138
C19orf48	0.093
GLRA2	0.599
PRRG2	0.101
ARG2	0.101
SOX9	0.853
PRRG3	0.224
RHBDL2	0.065
RHBDL3	0.129
RHBDL1	0.279
SNN	0.091
HSD3B7	0.165
HSD3B1	0.119
HSD3B2	0.109
MTRR	0.032
ADAM32	0.051
YWHAG	0.991
CD300A	0.233
PARP14	0.101
CD300E	0.057
FOXP2	0.872
RECQL4	0.064
COPS8	0.239
FOXP1	0.498
RCCD1	0.029
ADAM30	0.03
MYRIP	0.32
COPS2	0.766
COPS3	0.426
SAA4	0.029
COPS6	0.408
TBR1	0.885
COPS4	0.428
COPS5	0.968
YTHDF3	0.298
PPOX	0.163
YTHDF1	0.159
C17orf63	0.731
ZNF596	0.122
MDGA1	0.127
GTSF1	0.429
ZNF595	0.246
ZNF598	0.372
PARP11	0.469
MYCN	0.992
ASMT	0.079
ENPP7	0.079
C10orf28	0.073
KIAA0802	0.316
C17orf67	0.087
PLCH2	0.151
SPOP	0.184
TKT	0.642
PLCH1	0.091
VEZF1	0.805
NLK	0.965
TMEM45A	0.113
FAM135A	0.199
FAM135B	0.069
NLN	0.302
IGF2	0.962
NUDT9	0.062
IGF1	0.57
DLG4	0.988
DLD	0.216
NUDT1	0.341
NUDT2	0.085
NUDT3	0.315
NUDT4	0.421
NUDT5	0.407
NUDT6	0.271
NUDT7	0.088
TWSG1	0.172
SEPN1	0.124
PVR	0.073
TK2	0.177
TK1	0.688
PHLDB1	0.155
COL16A1	0.111
TCF4	0.959
NTHL1	0.733
LARS	0.71
ATP11B	0.19
SST	0.167
MEF2C	0.973
MEF2B	0.142
MEF2A	0.712
FETUB	0.026
MEF2D	0.822
MSLN	0.052
FBXL20	0.859
LCORL	0.284
FBXL22	0.32
SSB	0.976
EIF1AY	0.257
EPHX1	0.111
EPHX2	0.081
ZNF335	0.26
MFNG	0.408
ZNF333	0.11
ZNF330	0.121
ZNF331	0.455
TEX15	0.052
RPLP2	0.787
RPLP1	0.258
TP53BP2	0.392
TEX11	0.104
TEX10	0.489
TEX12	0.117
CSMD2	0.482
CSMD3	0.326
SLCO1B1	0.055
CSMD1	0.169
CD300LB	0.037
SGSM3	0.105
LRRC3B	0.243
CLDN17	0.038
ECD	0.166
SFRS1	0.827
NOTCH2NL	0.114
IPPK	0.079
CIB2	0.313
NDFIP2	0.119
NDFIP1	0.165
CIB1	0.145
PRIMA1	0.144
CIB4	0.067
THYN1	0.161
HBXIP	0.111
EIF4ENIF1	0.307
FAM81A	0.152
AAMP	0.423
FUK	0.157
ARID3A	0.303
TRIO	0.712
MTMR14	0.282
NTF4	0.262
MTMR12	0.154
MTMR11	0.09
MTMR10	0.042
UGDH	0.891
CELSR2	0.189
CELSR1	0.415
RABL2B	0.081
KIAA1045	0.18
PTCHD2	0.129
SLCO1A2	0.239
BBX	0.408
LRRC38	0.083
LRRC39	0.298
C14orf129	0.184
C14orf128	0.118
MFSD10	0.105
LRRC30	0.122
LRRC31	0.076
LRRC32	0.18
LRRC33	0.341
LRRC34	0.078
C14orf126	0.217
LRRC36	0.258
MFN2	0.078
MFN1	0.794
ZNF33B	0.205
ZNF33A	0.088
FAM117A	0.327
TTC23	0.088
THTPA	0.062
MAD2L2	0.84
MAD2L1	0.992
SVIL	0.12
KTN1	0.32
TCEB3	0.102
APOA4	0.079
C20orf191	0.183
C20orf197	0.045
BMPER	0.151
C20orf195	0.139
C20orf194	0.384
CLCNKA	0.102
C20orf199	0.096
CLCNKB	0.119
LRP2BP	0.468
IQSEC3	0.474
FAM90A1	0.104
CD99L2	0.065
C14orf148	0.05
GPRASP2	0.051
SIN3A	0.941
POR	0.136
KRTAP6-2	0.06
KRTAP6-1	0.04
APOA1	0.27
ACRC	0.031
VPREB3	0.148
CARS	0.156
GPRASP1	0.195
ST3GAL3	0.287
ST3GAL2	0.2
ST3GAL1	0.106
SGPP1	0.309
ST3GAL6	0.368
ST3GAL5	0.093
ST3GAL4	0.063
C7orf28A	0.18
NINJ1	0.08
NINJ2	0.112
C7orf28B	0.23
GALNS	0.103
ATXN3L	0.183
NEK2	0.842
NPSR1	0.211
C15orf44	0.109
C16orf72	0.133
SLC16A9	0.156
SLC16A8	0.169
CYP7B1	0.264
MAGEA10	0.052
SLC16A1	0.202
SLC16A3	0.18
SLC16A2	0.125
SLC16A5	0.09
SLC16A4	0.07
SLC16A7	0.059
CEP135	0.558
ARHGAP30	0.052
BCKDHB	0.21
WIPF3	0.133
WIPF2	0.346
WIPF1	0.698
CMKLR1	0.042
MON1A	0.237
MON1B	0.058
DYNLL1	0.086
LYVE1	0.357
OAF	0.186
KRT14	0.292
KHDC1	0.077
UQCRQ	0.018
RBM4B	0.292
HECTD1	0.652
KIAA1024L	0.178
UQCRH	0.886
UQCRB	0.136
JMJD1C	0.707
CACNA1H	0.104
GPS1	0.226
GPS2	0.093
CACNA1A	0.611
CACNA1B	0.352
CACNA1C	0.588
CACNA1D	0.482
CACNA1E	0.508
DSCAM	0.136
SYCP3	0.108
C22orf13	0.186
GLRX5	0.092
GLO1	0.34
ATP6V0D1	0.145
CACNA1S	0.214
LSS	0.083
FCAR	0.047
FLCN	0.174
BMP8A	0.178
BMP8B	0.417
PRDM7	0.057
SLC15A2	0.539
SLC15A3	0.176
SLC15A1	0.111
MOS	0.192
SLC15A4	0.052
CARHSP1	0.317
SNX26	0.328
RBM41	0.108
RBM42	0.164
RBM43	0.039
RBM44	0.075
RBM45	0.083
RBM46	0.266
RBM47	0.504
NPY1R	0.328
PQBP1	0.104
TTC15	0.071
TTC14	0.085
TTC17	0.352
TTC16	0.155
TTC13	0.2
TTC12	0.041
TTC19	0.198
TTC18	0.091
C4orf29	0.04
SLBP	0.131
EPGN	0.273
FAM48A	0.426
C3orf64	0.413
C3orf65	0.294
C4orf23	0.095
C4orf22	0.081
C3orf60	0.134
C3orf62	0.071
C4orf26	0.188
S100A11	0.124
SLC31A2	0.11
ZFP92	0.069
ZFP90	0.14
INPP5A	0.096
KIAA0664	0.226
LMO1	0.771
PPM1G	0.999
PRDM2	0.257
THEM5	0.057
THEM4	0.037
ABCF3	0.53
THEM2	0.018
ABCF1	0.125
EGR2	0.96
C4BPA	0.062
C4BPB	0.06
PPM1L	1.0
PPM1K	0.999
PPM1J	0.334
EGR4	0.445
PPM1H	0.38
C16orf79	0.057
RTN4RL1	0.453
PJA1	0.055
PJA2	0.273
CHEK2	0.987
CHEK1	0.995
DALRD3	0.679
UPF3B	0.211
PRKAB2	0.654
ZCRB1	0.178
PRKAB1	0.189
BARHL2	0.648
PAX5	0.484
PAX4	0.059
PAX7	0.91
PAX6	0.997
PAX1	0.809
PAX3	0.995
KPRP	0.166
PTPN3	0.296
PCDHA11	0.116
PCDHA12	0.117
RG9MTD2	0.122
PAX8	0.786
PTPN5	0.347
RG9MTD1	0.039
DRD5P1	0.113
GINS3	0.198
DRD5P2	0.126
PROK1	0.165
GINS4	0.249
BTF3	0.352
DDR2	0.81
DDR1	0.575
LRCH4	0.15
STUB1	0.384
NNMT	0.47
LRCH1	0.143
NAGA	0.308
LRCH3	0.21
MBD3L1	0.032
RCOR1	0.137
PTDSS1	0.22
AGBL5	0.239
AGBL4	0.241
AGBL3	0.149
AGBL2	0.124
AGBL1	0.082
GDF5OS	0.071
C15orf39	0.118
RBM12B	0.112
ALG10B	0.076
ARRB2	0.571
ARRB1	0.245
CYP2S1	0.142
SUSD2	0.132
ADPRH	0.103
EGFL10	0.067
NEK9	0.364
ADI1	0.198
CNTD2	0.046
SNAP25	0.382
ZEB1	0.397
C21orf89	0.135
GPNMB	0.615
PSMA2	0.99
PSMA3	0.995
C9	0.12
PSMA1	0.948
PSMA6	0.993
PSMA7	0.945
OBSL1	0.159
PSMA5	0.982
DSG2	0.339
C2	0.178
PSMA8	0.055
DSG1	0.688
C7	0.377
C6	0.053
C5	0.225
CEMP1	0.071
FBXO45	0.223
FBXO44	0.136
FBXO47	0.32
MSH3	0.486
FBXO41	0.243
FBXO40	0.158
FBXO43	0.347
FBXO42	0.106
EIF2C4	0.073
EIF2C1	0.074
FBXO48	0.096
EIF2C3	0.126
EIF2C2	0.627
LMO7	0.067
C20orf62	0.089
SERGEF	0.081
SEPT14	0.21
CS	0.918
CP	0.338
RMND5A	0.285
RMND5B	0.141
NRBF2	0.796
KCNJ3	0.195
KCNJ2	0.348
KCNJ1	0.09
SFRP1	0.828
TRAFD1	0.061
KCNJ6	0.306
SFRP4	0.177
SFRP5	0.327
DLEU7	0.094
KCNJ9	0.435
KCNJ8	0.49
ATCAY	0.186
NECAB2	0.114
C9orf131	0.045
AGPAT6	0.144
AGPAT5	0.459
AGPAT4	0.249
JAGN1	0.058
NECAB1	0.296
AGPAT1	0.309
ATAD4	0.077
C9orf139	0.064
SET	0.559
KIAA1217	0.181
TP53I13	0.097
AGPAT9	0.108
ELMO1	0.306
OR2J1	0.11
OR2J2	0.072
OR2J3	0.086
CMYA5	0.08
PEX19	0.309
TMEM155	0.0
TMEM156	0.059
LACRT	0.063
TMEM150	0.345
FOXO4	0.857
NIP7	0.182
PEX10	0.087
PEX13	0.183
PEX12	0.215
ANGEL2	0.078
ANGEL1	0.18
PEX16	0.065
EIF1B	0.306
TMEM190	0.143
SORBS2	0.387
C22orf29	0.064
UNCX	0.125
FRAT2	0.634
GAL3ST4	0.088
CRISPLD2	0.805
SPAG4	0.121
GIT1	0.386
SPAG5	0.269
AADAT	0.064
SIGIRR	0.096
COG7	0.112
C19orf35	0.205
AADAC	0.023
ANXA8L1	0.454
C19orf33	0.078
SPAG1	0.051
PGA4	0.135
PGA5	0.167
FAM154A	0.157
HTR6	0.175
VCX3A	0.056
MINPP1	0.913
PPP1CB	0.69
PPP1CC	0.999
HTR7	0.48
MPPED2	0.056
C11orf21	0.107
KLHL4	0.346
C11orf24	0.039
FOXC2	0.351
FOXC1	0.692
COL6A1	0.653
WBP2	0.404
COL6A3	0.95
COL6A2	0.496
RFXANK	0.162
WBP4	0.157
WAPAL	0.74
KLK12	0.045
KLK13	0.044
KLK10	0.102
KLK11	0.074
METTL2A	0.128
SRP9	0.11
KLK15	0.165
C12orf41	0.313
FAM71D	0.187
FAM71B	0.066
FAM71C	0.045
FAM71A	0.14
C12orf43	0.113
OGG1	0.274
MMP11	0.173
EOMES	0.388
C12orf42	0.086
ALLC	0.092
ARHGDIG	0.12
HIF1AN	0.47
SESN3	0.277
C12orf44	0.045
SLC34A1	0.182
RWDD4A	0.173
SLC34A2	0.211
OR2AE1	0.043
PPP1R16A	0.131
PPP1R16B	0.519
PLLP	0.145
BLNK	0.204
EIF3CL	0.219
BATF	0.862
TMEM9B	0.1
NAE1	0.612
FAM101B	0.216
NANP	0.138
UBR3	0.287
UBR2	0.659
UBR1	0.578
PRMT7	0.044
NUCB1	0.113
NANS	0.155
UBR5	0.761
UBR4	0.224
SOCS5	0.647
SOCS4	0.128
CALN1	0.279
C16orf46	0.046
SOCS1	0.153
SRPR	0.562
SOCS3	0.809
SOCS2	0.508
PPP2CA	0.895
PACSIN1	0.262
PPP2CB	0.679
CCNY	0.176
SRPX	0.636
CCNF	0.481
CCNC	0.939
CCNO	0.068
CCNH	0.702
CCNI	0.234
CCNJ	0.423
VPS72	0.239
PCM1	0.418
TBRG4	0.062
GREM1	0.713
LYSMD1	0.084
IL1R2	0.627
IL1R1	0.188
PTN	0.238
LRRK1	0.113
LRRK2	0.101
PTH	0.118
PLEKHJ1	0.111
SRCRB4D	0.091
COPE	0.194
ABHD10	0.059
ABHD11	0.052
POLG	0.205
ABHD13	0.089
NGRN	0.036
FAM108A2	0.097
FAM108A3	0.135
FN3K	0.173
PTS	0.098
MEGF8	0.617
C16orf67	0.043
MRPL11	0.371
C16orf65	0.127
MRPL13	0.082
MRPL14	0.068
MRPL15	0.287
MRPL16	0.063
MRPL17	0.086
CDC25C	0.993
MRPL19	0.088
CDC25A	0.999
UAP1	0.298
LTB4R	0.066
ARPC5	0.077
RNF40	0.269
TMPRSS12	0.058
DCUN1D1	0.289
DCUN1D2	0.069
DCUN1D3	0.631
DCUN1D4	0.245
ZNF827	0.494
ITPR2	0.877
ITPR3	0.609
ZNF828	0.106
ITPR1	0.433
MEGF9	0.073
IL1RN	0.082
AMPH	0.189
OR10H5	0.048
LRIG3	0.226
LRIG2	0.111
LRIG1	0.637
NOTCH3	0.865
POLE	0.628
AP1G1	0.418
BMPR1A	0.982
SNCG	0.421
UNC13A	0.173
MTTP	0.298
SNCB	0.436
SNCA	0.698
AIFM2	0.15
RNF126	0.119
IL17RE	0.089
IL17RD	0.578
RNF123	0.183
IL17RB	0.1
RNF121	0.802
NELF	0.124
KBTBD11	0.14
FOXR1	0.089
LAP3	0.182
OR11A1	0.139
POT1	0.144
G6PC3	0.157
FFAR2	0.108
CD302	0.25
SACS	0.552
FFAR3	0.091
MUC5B	0.072
OPN5	0.223
OPN4	0.083
OPN3	0.149
UCP2	0.137
NCOR1	0.539
SCAPER	0.131
TEK	0.886
AVEN	0.065
PHLPPL	0.458
HIST2H2AB	0.952
TEC	0.346
REPS1	0.212
CDH22	0.143
REPS2	0.308
GPN3	0.495
GPN2	0.114
GPN1	0.075
TMEM30A	0.17
NFKB1	0.945
NFKB2	0.816
PM20D2	0.095
RERGL	0.064
DNPEP	0.335
RAP2C	0.537
RAP2A	0.131
SIAH1	0.907
SIAH2	0.331
RBPMS2	0.716
LYZL4	0.08
CLPTM1L	0.181
LYZL1	0.098
LYZL2	0.091
PDZRN4	0.104
LDOC1L	0.123
PDZRN3	0.401
EMILIN3	0.124
NUP210L	0.081
EMILIN1	0.244
CLLU1OS	0.128
DAPP1	0.151
TPST2	0.195
PIAS2	0.978
PIAS3	0.715
CTGF	0.673
PIAS1	0.976
PIAS4	0.636
TMEM98	0.134
HIVEP1	0.157
HIVEP2	0.488
HIVEP3	0.229
ZNF311	0.066
RASL12	0.101
ZNF317	0.146
ZNF318	0.44
ZNF319	0.589
STK35	0.161
NRIP2	0.064
OVOL1	0.379
P2RX1	0.07
P2RX3	0.277
P2RX2	0.361
P2RX5	0.06
P2RX4	0.199
P2RX7	0.11
P2RX6	0.051
HADHB	0.08
HADHA	0.053
GSTP1	0.18
RPS19BP1	0.107
PHF6	0.69
ZNF91	0.097
KIAA1539	0.551
PLXNB2	0.183
PGRMC2	0.203
PGRMC1	0.189
AMH	0.348
KIAA1530	0.071
ATAD5	0.332
GPR132	0.103
ALS2	0.194
C13orf3	0.092
LRRC52	0.114
LRRC53	0.432
LRRC50	0.054
KBTBD4	0.308
ADHFE1	0.221
RTF1	0.595
LRRC55	0.128
TSEN54	0.108
DENND1B	0.041
LRRC58	0.261
LRRC59	0.087
SLCO1C1	0.62
AKAP7	0.151
GPR139	0.223
CXCL12	0.543
SDHA	0.287
SDHC	0.183
SDHB	0.389
SDHD	0.175
SHARPIN	0.062
ZCCHC13	0.188
ERRFI1	0.278
ZCCHC11	0.224
ZCCHC10	0.139
ZCCHC17	0.172
